LAT,LON,RTE_DEFN_LN_NM,RTE_DFO,RMRKR_PNT_NBR,RMRKR_DISPLACEMENT,CTRL_SECT_LN_NBR,CTRL_SECT_MPT
31.040142,-104.831674,BI0010D-KG,2.194,114,0.009,,
32.250264,-101.478729,BI0020G-RG,3.34,310,1.146,,
27.506707,-99.507966,BI0035A-KG,3.151,634,0.192,1806,20.268
27.506529,-99.507156,BI0035A-KG,3.099,634,0.14,1806,20.215
27.506529,-99.507156,BI0035A-LG,3.169,634,0.14,,
35.232112,-100.601002,BI0040H-KG,2.174,366,0.324,27523,24.318
32.328452,-96.62379,BI0045G-KG,2.326,296,0.104,,
30.669308,-96.370517,BS0006R-KG,4.97,410,0.947,5001,1.371
31.603221,-94.655562,BS0007N-KG,2.025,,,11808,20.048
31.602866,-94.655134,BS0007N-KG,2.059,,,,
31.602521,-94.653863,BS0007N-KG,2.131,,,11808,20.155
31.605158,-94.65918,BS0021P-KG,1.596,780,0.815,,
32.089529,-96.468557,BS0031D-KG,5.272,622,1.373,,
28.701276,-96.216229,BS0035H-KG,1.188,546,1.148,17914,1.188
28.027157,-97.04992,BS0035L-KG,2.524,664,0.013,18004,8.424
28.027157,-97.04992,BS0035L-LG,2.535,664,0.01,,
28.027157,-97.04992,BS0035L-RG,2.519,664,0.015,,
30.158993,-96.397668,BS0036J-KG,2.552,444,0.675,18701,0.543
30.16262,-96.398611,BS0036J-KG,2.296,444,0.419,18701,0.287
30.165537,-96.400195,BS0036J-KG,2.079,444,0.202,,
30.162091,-96.399247,BS0036J-KG,2.322,444,0.445,,
33.613284,-95.051441,BS0037C-KG,0.579,204,0.525,18902,17.829
29.703515,-98.124925,BS0046C-KG,2.237,514,0.255,21502,20.383
29.703066,-98.125239,BS0046C-KG,2.241,514,0.259,21502,20.387
29.703515,-98.124925,BS0046C-LG,2.249,,,,
29.703066,-98.125239,BS0046C-LG,2.245,,,,
29.703515,-98.124925,BS0046C-RG,2.245,,,,
29.703066,-98.125239,BS0046C-RG,2.249,,,,
29.904675,-96.878316,BS0071E-KG,2.295,636,1.439,26514,25.453
29.901889,-96.884588,BS0071E-KG,1.872,636,1.016,26514,25.031
29.900335,-96.88897,BS0071E-KG,1.589,636,0.733,26514,24.748
33.16553,-96.36008,BS0078E-KG,1.688,238,1.649,28004,2.688
29.567264,-97.964546,BS0123B-KG,3.58,488,1.617,36612,4.58
32.158198,-94.339028,BU0059D-KG,1.673,300,1.585,6312,1.703
31.320277,-94.727507,BU0059G-KG,3.871,388,1.879,17603,0.674
29.31081,-96.103736,BU0059R-KG,7.372,,,,
29.308646,-96.103797,BU0059R-KG,7.518,,,8910,39.147
29.31081,-96.103736,BU0059R-LG,7.371,,,,
29.308646,-96.103797,BU0059R-LG,7.518,,,,
29.31081,-96.103736,BU0059R-RG,7.378,,,,
29.308646,-96.103797,BU0059R-RG,7.519,,,,
28.805618,-97.004659,BU0059T-KG,7.857,,,,
28.802954,-97.007578,BU0059T-KG,8.148,638,0.271,8919,9.612
28.802245,-97.008411,BU0059T-KG,8.212,638,0.335,8919,9.676
31.457542,-100.452578,BU0067H-KG,0.653,360,0.608,7709,2.749
31.460538,-100.442942,BU0067H-KG,0.05,360,0.005,,
32.347187,-97.386144,BU0067M-KG,4.404,452,1.26,,
32.347187,-97.386144,BU0067M-LG,4.367,,,,
33.138433,-95.600656,BU0067V-KG,4.498,656,1.179,918,10.01
25.909208,-97.506307,BU0077Z-KG,3.017,744,0.972,3910,3.563
25.900709,-97.496332,BU0077Z-LG,3.859,,,,
25.909208,-97.506307,BU0077Z-RG,2.987,,,,
32.152991,-94.795624,BU0079F-KG,0.626,340,0.596,24518,20.626
27.045225,-99.443561,BU0083N-KG,0.582,666,0.551,3808,0.582
26.215301,-98.326006,BU0083S-KG,7.171,504,1.25,3903,1.535
26.214985,-98.324006,BU0083S-KG,7.298,504,1.377,3903,1.661
32.250264,-101.478729,BU0087M-KG,3.696,378,0.218,6901,22.317
30.092867,-93.735316,BU0090Y-KG,4.759,442,0.614,,
30.093483,-93.738019,BU0090Y-KG,4.598,442,0.453,,
28.401929,-97.749073,BU0181J-KG,5.893,570,1.879,10107,11.306
28.402108,-97.748968,BU0181J-KG,5.885,570,1.871,10107,11.298
29.500923,-97.452118,BU0183V-KG,2.046,576,0.843,15303,2.046
27.227326,-98.144307,BU0281T-KG,0.867,710,0.45,25503,3.167
32.754212,-97.331238,BU0287P-KG,16.679,270,0.752,,
32.757329,-97.332995,BU0287P-KG,16.449,270,0.522,1401,17.824
32.755323,-97.331431,BU0287P-KG,16.614,270,0.687,1401,17.989
32.754458,-97.330807,BU0287P-KG,16.688,270,0.761,1401,18.063
32.754505,-97.330494,BU0287P-KG,16.711,270,0.784,1401,18.085
32.760065,-97.33463,BU0287P-KG,16.237,270,0.31,1401,17.613
32.760061,-97.334972,BU0287P-KG,16.228,270,0.301,1401,17.603
32.754505,-97.330494,BU0287P-LG,16.704,,,,
32.38397,-96.842551,BU0287R-KG,4.83,586,0.697,17211,6.33
32.398042,-96.863902,BU0287R-KG,3.231,584,1.101,17211,4.731
32.397854,-96.863481,BU0287R-KG,3.258,584,1.128,17211,4.758
32.38643,-96.849295,BU0287R-KG,4.402,586,0.269,17211,5.903
32.326068,-96.631287,BU0287S-KG,2.525,514,1.721,17212,6.597
32.328307,-96.625705,BU0287S-KG,2.884,514,2.08,17212,6.956
30.167627,-96.396403,BU0290F-KG,1.72,444,1.607,,
30.165747,-96.415345,BU0290F-KG,0.515,444,0.402,11409,20.513
30.166136,-96.403085,BU0290F-KG,1.293,444,1.18,11409,21.292
30.162541,-96.394668,BU0290F-KG,2.046,446,0.282,11410,17.546
30.166,-96.396238,BU0290F-KG,1.814,446,0.05,,
30.167111,-96.397662,BU0290F-KG,1.635,444,1.522,11409,21.635
30.16364,-96.39547,BU0290F-KG,1.968,446,0.204,,
30.167627,-96.396403,BU0290F-LG,1.67,,,,
30.166136,-96.403085,BU0290F-LG,1.257,,,,
30.167111,-96.397662,BU0290F-LG,1.589,,,,
30.165497,-96.402687,BU0290F-RG,1.289,,,,
30.167111,-96.397662,BU0290F-RG,1.608,,,,
32.222087,-98.199516,BU0377J-KG,2.156,506,0.238,7907,2.156
32.22012,-98.202293,BU0377J-KG,1.947,506,0.029,,
32.759038,-97.797361,FM0051-KG,75.53,286,0.309,,
33.623963,-97.145637,FM0051-KG,0.706,208,0.705,,
32.235007,-97.755759,FM0056-KG,22.628,316,0.084,,
31.313496,-94.70847,FM0058-KG,1.008,360,0.958,57602,1.012
32.378933,-96.853936,FM0066-KG,32.564,598,0.274,59602,17.922
32.379301,-96.854352,FM0066-KG,32.558,598,0.268,59602,17.916
32.380004,-96.853273,FM0066-KG,32.639,598,0.349,,
26.162569,-97.990774,FM0088-KG,22.826,726,1.761,,
31.061563,-97.460023,FM0093-KG,6.397,,,1505,0.099
33.759398,-96.537101,FM0120-KG,12.568,604,0.96,72801,8.753
33.754965,-96.531831,FM0120-KG,13.17,604,1.562,72802,1.205
33.011288,-94.36504,FM0125-KG,1.521,728,1.476,,
32.757381,-94.345141,FM0134-KG,0.352,260,0.248,,
30.674318,-96.368503,FM0158-KG,1.268,616,0.064,21203,0.083
30.675388,-96.376821,FM0158-KG,0.769,614,0.726,,
30.67442,-96.373509,FM0158-KG,0.972,614,0.929,,
29.085421,-97.285066,FM0236-KG,0.513,520,0.494,84201,1.513
29.08562,-97.2865,FM0236-KG,0.428,520,0.409,,
29.086553,-97.28895,FM0236-KG,0.267,520,0.248,84201,1.267
31.691066,-106.327658,FM0258-KG,0.05,348,0.01,214,0.05
31.333847,-94.738054,FM0324-KG,0.316,358,0.301,,
31.334743,-94.738491,FM0324-KG,0.249,358,0.234,,
31.3363,-94.716659,FM0325-KG,0.065,714,0.015,31905,1.065
29.448024,-96.997155,FM0340-KG,12.867,586,0.898,144501,12.867
32.156918,-95.406168,FM0346-KG,5.632,676,1.547,176401,1.547
31.955934,-95.272491,FM0347-KG,3.642,318,0.33,37807,10.33
31.402441,-100.089089,FM0381-KG,18.335,364,1.918,82602,13.949
30.160489,-96.400327,FM0389-KG,20.364,476,1.092,31508,13.066
30.157908,-96.406623,FM0389-KG,19.86,476,0.588,,
30.319117,-96.345098,FM0390-KG,20.658,464,0.922,,
30.282302,-96.457812,FM0390-KG,12.964,456,1.071,33809,1.358
30.184112,-96.598431,FM0390-KG,0.869,444,0.805,33808,1.047
33.324606,-96.788824,FM0455-KG,73.761,602,1.289,,
29.34235,-97.069252,FM0531-KG,7.373,580,1.391,26910,11.605
29.315267,-98.058028,FM0539-KG,8.581,504,0.865,223301,5.853
30.148742,-96.364467,FM0577-KG,4.707,446,1.495,244701,4.706
32.690363,-99.164952,FM0601-KG,7.455,448,1.444,10703,12.455
33.234323,-97.58693,FM0730-KG,17.26,238,0.166,,
32.393371,-96.843815,FM0813-KG,0.07,586,0.021,113901,1.07
32.394795,-96.842719,FM0813-KG,0.187,586,0.138,113901,1.187
31.066315,-97.442549,FM0817-KG,0.952,552,0.919,1505,1.352
32.38835,-96.835006,FM0878-KG,0.784,584,0.738,59604,0.784
32.390608,-96.84048,FM0878-KG,0.429,584,0.383,59604,0.429
32.39152,-96.841096,FM0878-KG,0.369,584,0.323,59604,0.369
32.388413,-96.828202,FM0878-KG,1.195,584,1.149,,
32.388792,-96.829256,FM0878-KG,1.14,584,1.094,,
32.387765,-96.832469,FM0878-KG,0.942,584,0.896,59604,0.942
32.388255,-96.829482,FM0878-KG,1.119,584,1.073,59604,1.119
32.391362,-96.842375,FM0878-KG,0.307,584,0.261,59604,0.307
30.656393,-97.001437,FM0908-KG,12.487,580,0.486,,
30.307912,-96.176279,FM0912-KG,2.8,630,0.822,31512,2.8
33.495091,-97.289176,FM0922-KG,17.603,560,0.861,84503,13.74
31.19532,-98.716925,FM1031-KG,0.036,,,,
33.247795,-100.574233,FM1083-KG,0.028,,,,
30.143597,-96.257351,FM1155-KG,20.294,452,0.508,140504,7.17
32.321389,-96.622275,FM1183-KG,0.528,598,0.39,131701,2.255
32.321389,-96.622275,FM1183-KG,0.528,598,0.39,131701,2.255
33.814728,-98.195362,FM1197-KG,13.333,196,1.523,,
31.442585,-100.43488,FM1223-KG,0.159,,,,
32.943987,-99.802911,FM1226-KG,0.011,,,136001,0.011
32.380499,-96.861126,FM1446-KG,7.589,578,1.021,116002,7.589
32.381144,-96.856647,FM1446-KG,7.861,578,1.293,116002,7.861
32.381104,-96.85431,FM1446-KG,7.997,578,1.429,116002,7.997
33.612125,-95.747448,FM1509-KG,3.777,644,1.777,4514,4.777
33.661084,-95.673319,FM1510-KG,1.343,646,1.294,4515,2.343
30.980629,-96.670408,FM1644-KG,11.775,394,1.881,,
32.332449,-96.634944,FM1722-KG,5.36,598,1.317,131703,5.36
32.332817,-96.63536,FM1722-KG,5.326,598,1.283,131703,5.326
32.331171,-96.634128,FM1722-KG,5.46,598,1.417,131703,5.46
32.33043,-96.633085,FM1722-KG,5.534,598,1.491,131703,5.534
32.332076,-96.634317,FM1722-KG,5.4,598,1.357,131703,5.4
32.328419,-96.63165,FM1722-KG,5.696,598,1.653,131703,5.696
32.33043,-96.633085,FM1722-LG,5.538,,,,
32.332076,-96.634317,FM1722-LG,5.404,,,,
32.328419,-96.63165,FM1722-LG,5.699,,,,
32.332449,-96.634944,FM1722-RG,5.362,,,,
32.332817,-96.63536,FM1722-RG,5.328,,,,
32.326068,-96.631287,FM1722-RG,5.848,,,,
32.331171,-96.634128,FM1722-RG,5.462,,,,
28.964886,-96.655708,FM1822-KG,0.526,526,0.505,194501,1.526
31.526685,-94.107974,FM2213-KG,0.24,344,0.219,168002,0.24
30.946166,-97.536823,FM2268-KG,0.8,546,0.706,213601,10.687
30.944992,-97.536736,FM2268-KG,0.881,546,0.787,213601,10.767
30.952909,-97.534731,FM2268-KG,0.332,546,0.238,213601,10.202
30.942207,-97.53772,FM2268-KG,1.076,546,0.982,213601,10.963
30.943189,-97.536868,FM2268-KG,1.006,546,0.912,,
30.946976,-97.536601,FM2268-KG,0.744,546,0.65,213601,10.631
33.905973,-98.90516,FM2326-KG,9.808,466,0.876,221502,2.85
30.145181,-96.251184,FM2447-KG,1.917,444,1.901,129901,11.985
30.143675,-96.252471,FM2447-KG,1.8,444,1.784,129901,11.867
30.142594,-96.265473,FM2447-KG,0.994,444,0.978,129901,11.062
30.143422,-96.253308,FM2447-KG,1.724,444,1.708,129901,11.791
30.143587,-96.252577,FM2447-KG,1.792,444,1.776,129901,11.858
30.143248,-96.253624,FM2447-KG,1.705,444,1.689,129901,11.772
30.143597,-96.257351,FM2447-KG,1.482,444,1.466,,
32.874687,-95.764954,FM2795-KG,3.644,646,1.642,,
29.767626,-95.357393,IH0010-KG,769.539,769,0.292,50801,0.58
29.767626,-95.357393,IH0010-LG,769.569,769,0.28,,
29.501395,-98.186711,IH0010-LG,594.367,594,0.187,,
29.767626,-95.357393,IH0010-RG,769.52,769,0.301,,
29.501395,-98.186711,IH0010-TA,0.064,,,,
29.767626,-95.357393,IH0010-XG,769.54,,,,
29.501395,-98.186711,IH0010-XG,594.409,594,0.186,,
32.744343,-97.326353,IH0030-CN,0.187,,,,
32.744762,-97.330774,IH0030-KG,14.443,14,0.463,106801,23.214
32.744343,-97.326353,IH0030-KG,14.699,14,0.719,106801,23.47
32.744762,-97.330774,IH0030-LG,15.179,14,0.465,,
32.744762,-97.330774,IH0030-RG,14.961,14,0.462,,
32.744343,-97.326353,IH0030-RG,15.218,14,0.719,,
32.744762,-97.330774,IH0030-RP,0.082,,,,
30.275254,-97.730977,IH0035-AG,234.969,235,0.312,,
30.275254,-97.730977,IH0035-KG,234.854,235,0.311,1513,18.343
30.042397,-97.842419,IH0035-KG,217.266,217,0.714,1602,20.264
30.275254,-97.730977,IH0035-LG,234.849,235,0.311,,
30.042397,-97.842419,IH0035-LG,217.26,217,0.715,,
30.275254,-97.730977,IH0035-RG,234.87,235,0.313,,
30.042397,-97.842419,IH0035-RG,217.283,217,0.716,,
30.275254,-97.730977,IH0035-RP,0.225,,,,
30.275254,-97.730977,IH0035-RP,0.008,,,,
30.042397,-97.842419,IH0035-RP,0.022,,,,
30.275254,-97.730977,IH0035-TA,0.058,,,,
30.042397,-97.842419,IH0035-XG,217.274,217,0.714,,
29.764151,-95.369616,IH0045-LG,48.05,47,1.024,,
29.764151,-95.369616,IH0045-RP,0.067,,,,
29.988519,-97.87717,RM0150-KG,20.732,468,0.824,,
29.989444,-97.879854,RM0150-KG,20.563,468,0.655,80504,30.786
30.750479,-98.677538,RM0152-KG,27.651,484,0.608,39609,18.556
29.79476,-98.732217,RM0474-KG,15.732,476,1.912,,
29.794712,-98.73082,RM0474-KG,15.658,476,1.838,104201,15.658
29.94475,-99.037226,RM0480-KG,0.394,464,0.36,85501,1.496
33.192487,-96.613369,SH0005-KG,25.317,238,1.29,,
33.194641,-96.612882,SH0005-KG,25.165,238,1.138,4705,17.26
33.193744,-96.613121,SH0005-KG,25.232,238,1.205,,
32.391784,-98.981207,SH0006-KG,176.694,344,1.407,,
32.947416,-99.802728,SH0006-KG,106.445,270,0.81,,
32.944005,-99.800129,SH0006-KG,106.796,270,1.161,10701,0.203
32.944892,-99.802491,SH0006-KG,106.635,270,1,10701,0.043
33.500149,-99.801866,SH0006-KG,64.655,224,0.582,9805,16.334
32.944892,-99.802491,SH0006-LG,106.626,,,,
32.943987,-99.802911,SH0006-RG,106.68,,,,
33.011288,-94.36504,SH0011-KG,154.962,758,1.189,21805,16.971
29.725838,-99.072484,SH0016-KG,318.265,552,0.736,29105,14.55
29.579848,-98.690937,SH0016-KG,347.291,580,1.214,29109,10.606
29.579848,-98.690937,SH0016-LG,347.292,580,1.212,,
29.579848,-98.690937,SH0016-RG,347.282,580,1.213,,
30.313242,-104.022003,SH0017-KG,94.158,454,0.413,10405,8.417
31.764227,-95.626896,SH0019-KG,144.816,346,0.48,,
32.874687,-95.764954,SH0019-KG,58.549,260,1.775,10810,7.689
31.764227,-95.626896,SH0019-LG,144.825,346,0.479,,
31.764227,-95.626896,SH0019-RG,144.809,346,0.475,,
31.759315,-106.486529,SH0020-KG,20.047,328,0.098,103,1.608
31.75952,-106.48794,SH0020-KG,19.933,326,1.974,,
31.759841,-106.487868,SH0020-KG,19.918,326,1.959,103,1.479
31.75929,-106.48791,SH0020-KG,19.947,326,1.988,,
31.759339,-106.48631,SH0020-KG,20.058,328,0.109,,
31.75876,-106.48719,SH0020-KG,19.996,328,0.047,,
31.767317,-106.494924,SH0020-KG,19.258,326,1.299,,
31.758798,-106.486795,SH0020-KG,20.013,328,0.064,103,1.574
31.760932,-106.489405,SH0020-KG,19.804,326,1.845,,
31.528963,-94.105368,SH0021-KG,286.486,816,2.059,11810,12.169
31.529905,-94.111224,SH0021-KG,286.136,816,1.709,11810,11.818
30.105157,-97.322929,SH0021-KG,41.399,568,1.447,26504,14.785
30.105294,-97.317512,SH0021-LG,41.727,568,1.769,,
30.105157,-97.322929,SH0021-LG,41.403,568,1.445,,
30.105157,-97.322929,SH0021-RP,0.012,,,,
30.105157,-97.322929,SH0021-TA,0.27,,,,
30.105294,-97.317512,SH0021-XG,41.736,568,1.771,,
30.105157,-97.322929,SH0021-XG,41.411,568,1.446,,
32.010488,-97.131229,SH0022-KG,70.217,582,1.291,,
32.010479,-97.130594,SH0022-KG,70.255,582,1.329,12102,19.113
32.010474,-97.130277,SH0022-KG,70.273,582,1.347,,
31.922929,-97.656968,SH0022-KG,32.618,544,1.312,,
31.923267,-97.657387,SH0022-KG,32.609,544,1.303,12101,15.275
32.089529,-96.468557,SH0022-KG,111.382,626,0.268,12105,25.598
30.046243,-99.139378,SH0027-KG,20.163,466,0.148,14205,0.371
30.6336,-97.667273,SH0029-KG,134.046,554,1.523,33702,22.441
30.632982,-97.668637,SH0029-KG,133.964,554,1.441,33702,22.359
30.633572,-97.673429,SH0029-KG,133.68,554,1.157,,
30.633528,-97.669047,SH0029-KG,133.941,554,1.418,33702,22.336
30.632978,-97.66822,SH0029-KG,133.989,554,1.466,,
30.633538,-97.670091,SH0029-KG,133.878,554,1.355,,
30.633109,-97.663419,SH0029-KG,134.271,554,1.748,33702,22.666
30.632902,-97.678446,SH0029-KG,133.381,554,0.858,33701,12.033
30.633585,-97.674681,SH0029-KG,133.606,554,1.083,,
32.347047,-95.298157,SH0031-KG,120.58,698,1.437,,
32.331632,-96.620308,SH0034-KG,109.686,350,1.221,17301,11.295
33.139351,-96.106384,SH0034-KG,39.323,278,1.862,,
32.426717,-96.462845,SH0034-KG,98.16,338,0.543,17302,11.701
33.139351,-96.106384,SH0034-LG,39.296,,,,
31.70376,-98.123375,SH0036-KG,114.723,408,1.903,18303,9.901
29.95105,-96.258099,SH0036-KG,292.952,592,1.615,,
32.121385,-99.172075,SH0036-KG,42.374,336,0.419,,
32.761672,-94.352892,SH0049-KG,50.358,742,0.168,22205,15.142
29.310698,-96.098594,SH0060-KG,23.959,506,1.412,,
